"AD",100000,0.0001
"BO",600,0.01
"BP",62500,0.0001
"CL",1000,0.01
"C2",50,0.25
"C1",50,0.25
"CC",10,1
"CD",100000,0.0001
"CL",1000,0.01
"CT",500,0.01
"CU",125000,0.00005
"EC",125000,0.00005
"DX",1000,0.005
"ED",2500,0.005
"EM",100,0.1
"ES",50,0.25
"FC",500,0.025
"FV",1000,0.0071825
"GC",100,0.1
"HG",250,0.05
"HO",42000,0.0001
"JY",125000,0.00005
"KC",375,0.05
"KW",50,0.25
"LB",110,0.1
"LC",400,0.025
"LH",400,0.025
"MP",500000,0.00001
"NQ",20,0.25
"NG",10000,0.001
"O2",50,0.25
"OJ",150,0.05
"PA",100,0.05
"PL",50,0.10
"QG",2500,0.005
"QM",500,0.025
"RB",42000,0.0001
"RR",2000,0.005
"S2",50,0.25
"S_",50,0.25
"SB",1120,0.01
"SF",125000,0.0001
"SI",50,0.5
"SM",100,0.1
"SP",500,0.1
"ES",50,0.25
"TF",100,0.10
"US",1000,0.0313
"TU",2000,0.0071825
"TY",1000,0.0156
"W2",50,0.25
